S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
20,Maruti Ciaz ZXI,Bangalore,2015,47013,Diesel,Manual,Second,27.08 kmpl,1316 CC,110.74 bhp,7.0,31.59 Lakh,17.94
21,Honda City i-VTEC VX,Mumbai,2001,89892,Petrol,Manual,First,23.78 kmpl,1394 CC,121.54 bhp,7.0,40.5 Lakh,7.25
22,Toyota Corolla Altis VL,Jaipur,2019,16597,Diesel,Automatic,First,21.82 kmpl,1676 CC,141.59 bhp,7.0,,52.18
23,Maruti Celerio VXI,Jaipur,2018,31500,Diesel,Manual,Second,22.75 kmpl,1355 CC,133.33 bhp,7.0,32.53 Lakh,21.35
24,Ford EcoSport Titanium,Kochi,2008,186413,Diesel,Manual,First,27.79 kmpl,1225 CC,85.58 bhp,5.0,32.85 Lakh,9.99
25,Skoda Yeti Ambition,Delhi,2005,227962,Petrol,Automatic,First,20.67 kmpl,1657 CC,144.01 bhp,5.0,52.11 Lakh,11.56
26,Jeep Compass Longitude,Delhi,2011,147844,Diesel,Automatic,First,23.79 kmpl,1770 CC,161.11 bhp,5.0,,22.76
27,Datsun GO Plus T,Hyderabad,2004,86162,Petrol,Automatic,Second,27.58 kmpl,873 CC,96.62 bhp,5.0,,7.02
28,Skoda Rapid Ambition,Kolkata,2011,66504,Petrol,Manual,Second,16.85 kmpl,2308 CC,245.7 bhp,5.0,,26.79
29,Chevrolet Beat LT,Ahmedabad,2003,31370,Diesel,Automatic,Second,23.95 kmpl,1287 CC,119.33 bhp,7.0,30.39 Lakh,6.96
30,Volkswagen Polo Highline,Bangalore,2007,58522,Petrol,Automatic,Fourth & Above,18.41 kmpl,2249 CC,162.09 bhp,5.0,62.31 Lakh,12.94
31,Maruti Vitara Brezza VDI,Delhi,2002,132264,Diesel,Manual,First,25.88 kmpl,898 CC,91.38 bhp,5.0,27.1 Lakh,5.59
32,Hyundai Grand i10 Sportz,Jaipur,2013,88270,Petrol,Manual,First,22.76 kmpl,1653 CC,154.01 bhp,5.0,,21.81
33,Honda Jazz VX,Ahmedabad,1998,225287,Petrol,Automatic,First,22.61 kmpl,1731 CC,163.12 bhp,5.0,47.54 Lakh,5.72
34,Volkswagen Ameo Highline,Coimbatore,2019,22386,Diesel,Automatic,First,22.4 kmpl,1768 CC,159.6 bhp,7.0,,50.05
35,Toyota Yaris VX,Jaipur,2001,344014,Petrol,Automatic,Second,18.35 kmpl,1872 CC,147.49 bhp,5.0,54.23 Lakh,7.7
36,Nissan Terrano XV,Coimbatore,2014,31527,Diesel,Manual,First,22.65 kmpl,1780 CC,122.88 bhp,7.0,44.13 Lakh,27.36
37,Force Trax Cruiser,Kolkata,2001,288238,Petrol,Automatic,First,22.62 kmpl,1522 CC,106.5 bhp,5.0,,4.63
38,Tata Zest XM,Kochi,2013,47297,Diesel,Manual,First,25.16 kmpl,1082 CC,98.11 bhp,5.0,,15.99
39,Tata Safari Storme VX,Jaipur,2014,114642,CNG,Manual,Second,18.68 km/kg,933 CC,80.24 bhp,5.0,24.2 Lakh,11.61
40,Hyundai Creta 1.6 CRDi SX Option,Coimbatore,2004,239682,Petrol,Manual,First,22.91 kmpl,1609 CC,130.45 bhp,5.0,43.61 Lakh,8.17
41,Nissan Micra XV,Kolkata,2017,11288,Diesel,Automatic,First,21.82 kmpl,1759 CC,148.77 bhp,5.0,47.07 Lakh,35.04
42,Renault Triber RXZ,Delhi,2012,26589,Diesel,Manual,Fourth & Above,23.36 kmpl,1401 CC,140.97 bhp,5.0,33.81 Lakh,12.38
43,Mini Cooper S,Hyderabad,2016,47027,Petrol,Automatic,First,9.91 kmpl,3012 CC,313.5 bhp,7.0,,79.09
44,Volkswagen Vento Highline,Bangalore,2007,187766,Petrol,Automatic,Second,21.19 kmpl,2110 CC,176.69 bhp,5.0,,15.84
45,Mahindra KUV100 K8,Pune,2004,127137,Petrol,Manual,Second,20.45 kmpl,1826 CC,189.31 bhp,5.0,47.7 Lakh,10.68
46,Renault Captur RXE,Kochi,1999,211854,Petrol,Manual,First,27.24 kmpl,1043 CC,67.63 bhp,5.0,23.21 Lakh,3.36
47,Nissan Micra XV,Jaipur,2009,151734,Petrol,Manual,Second,23.29 kmpl,1576 CC,155.29 bhp,5.0,,11.78
48,Hyundai Verna SX,Bangalore,1998,360166,Diesel,Manual,First,19.22 kmpl,1954 CC,186.49 bhp,5.0,,5.52
49,Maruti Ignis Delta,Hyderabad,2012,80783,Petrol,Manual,Third,26.88 kmpl,868 CC,56.63 bhp,5.0,21.04 Lakh,7.3
50,Maruti Ciaz ZXI,Pune,2011,162205,Petrol,Manual,First,26.08 kmpl,958 CC,58.87 bhp,5.0,19.35 Lakh,7.28
51,Toyota Corolla Altis VL,Hyderabad,2007,172392,Petrol,Manual,First,20.2 kmpl,1979 CC,184.78 bhp,7.0,,16.67
52,Renault Duster RXZ,Pune,2011,132831,Petrol,Manual,First,29.83 kmpl,904 CC,79.56 bhp,4.0,25.02 Lakh,8.57
53,BMW 3 Series 320d,Jaipur,2011,149340,Diesel,Automatic,Second,16.92 kmpl,2572 CC,262.93 bhp,5.0,,43.83
54,Ford Figo Titanium,Chennai,2009,100203,Petrol,Manual,First,24.28 kmpl,1731 CC,169.58 bhp,5.0,45.53 Lakh,16.14
55,Maruti Swift VDI,Delhi,2001,102983,Petrol,Automatic,First,28.81 kmpl,807 CC,87.29 bhp,7.0,27.02 Lakh,5.07
56,Volkswagen Polo Highline,Coimbatore,2013,40120,Diesel,Automatic,First,23.13 kmpl,1551 CC,140.87 bhp,5.0,52.2 Lakh,27.72
57,Skoda Superb Ambition,Jaipur,2013,133323,Diesel,Automatic,First,22.61 kmpl,1512 CC,161.91 bhp,7.0,51.4 Lakh,24.33
58,Skoda Octavia Ambition,Pune,2005,108935,Diesel,Automatic,First,20.88 kmpl,1842 CC,196.7 bhp,7.0,61.04 Lakh,16.66
59,Chevrolet Cruze LTZ,Ahmedabad,2010,99696,CNG,Manual,First,32.67 km/kg,878 CC,79.64 bhp,4.0,23.53 Lakh,9.74
60,Mahindra TUV300 T8,Coimbatore,2005,203029,Diesel,Automatic,First,26.1 kmpl,1160 CC,99.18 bhp,7.0,31.04 Lakh,6.76
61,Jeep Compass Longitude,Kolkata,2003,129327,Diesel,Manual,First,21.97 kmpl,1685 CC,156.91 bhp,7.0,51.93 Lakh,11.74
62,Volkswagen Jetta Highline,Jaipur,2017,28442,Diesel,Automatic,Second,21.01 kmpl,1605 CC,194.93 bhp,5.0,,39.84
63,Maruti Ignis Delta,Delhi,2016,35187,Petrol,Manual,First,24.99 kmpl,1395 CC,121.68 bhp,4.0,33.06 Lakh,23.67
64,Nissan Micra XV,Chennai,2011,230526,Petrol,Manual,Second,21.34 kmpl,1655 CC,137.4 bhp,7.0,43.23 Lakh,14.6
65,Toyota Etios VX,Jaipur,2009,142318,Petrol,Automatic,Second,17.23 kmpl,2277 CC,202.1 bhp,5.0,65.46 Lakh,18.38
66,Maruti Swift VDI,Ahmedabad,1999,263083,Diesel,Manual,First,25.48 kmpl,1411 CC,98.49 bhp,5.0,31.72 Lakh,3.7
67,Tata Nexon XZ,Kolkata,2002,48113,Diesel,Manual,First,25.95 kmpl,1444 CC,104.64 bhp,7.0,33.88 Lakh,7.42
68,Chevrolet Spark LT,Chennai,2002,158466,Petrol,Automatic,First,23.7 kmpl,1414 CC,109.98 bhp,7.0,33.32 Lakh,6.94
69,Honda City i-VTEC VX,Hyderabad,2013,124248,Diesel,Manual,Third,24.73 kmpl,1408 CC,110.98 bhp,5.0,33.85 Lakh,13.97
70,Nissan Micra XV,Ahmedabad,2007,105568,Diesel,Manual,Second,24.0 kmpl,1454 CC,137.04 bhp,5.0,42.69 Lakh,11.61
71,Toyota Corolla Altis VL,Kolkata,2006,131990,Petrol,Automatic,First,20.53 kmpl,2162 CC,145.42 bhp,7.0,58.86 Lakh,14.96
72,Skoda Rapid Ambition,Pune,2017,25196,Diesel,Automatic,First,12.81 kmpl,2460 CC,247.9 bhp,5.0,71.02 Lakh,52.5
73,Fiat Linea Emotion,Jaipur,2006,80396,Petrol,Automatic,First,25.04 kmpl,1108 CC,115.96 bhp,5.0,31.0 Lakh,9.3
74,Toyota Yaris VX,Chennai,2006,245416,Diesel,Automatic,Second,23.88 kmpl,1733 CC,157.32 bhp,7.0,,10.95
75,Ford Aspire Titanium,Coimbatore,2007,279112,Diesel,Manual,First,24.1 kmpl,1402 CC,148.62 bhp,5.0,,9.49
76,Force One EX,Chennai,2018,36158,Diesel,Automatic,First,20.21 kmpl,1944 CC,183.82 bhp,5.0,,46.18
77,Hyundai i20 Sportz,Pune,2007,121751,Diesel,Automatic,Fourth & Above,20.36 kmpl,1999 CC,163.15 bhp,5.0,,10.57
78,Mahindra Scorpio S10,Mumbai,2006,131173,Diesel,Automatic,First,22.08 kmpl,1455 CC,149.63 bhp,7.0,,13.2
79,Maruti Baleno Delta,Coimbatore,2001,153568,Petrol,Manual,First,27.34 kmpl,1341 CC,87.15 bhp,7.0,,4.91
80,Datsun RediGO T,Jaipur,2008,181486,Diesel,Manual,Second,24.31 kmpl,937 CC,89.3 bhp,7.0,,6.66
81,Maruti Ertiga VDI,Delhi,1999,153652,Diesel,Manual,Fourth & Above,28.3 kmpl,892 CC,81.87 bhp,7.0,26.92 Lakh,2.9
82,Hyundai Elantra SX,Chennai,2008,152998,Diesel,Automatic,Second,22.25 kmpl,1433 CC,91.33 bhp,7.0,,9.44
83,Nissan Sunny XV,Pune,2016,31560,Petrol,Manual,First,22.62 kmpl,1607 CC,143.2 bhp,5.0,40.57 Lakh,28.37
84,Hyundai Santro Sportz,Bangalore,2000,418934,Petrol,Manual,First,21.74 kmpl,1517 CC,138.95 bhp,5.0,39.25 Lakh,4.41
85,Hyundai i20 Sportz,Kolkata,2016,31957,Petrol,Manual,First,21.25 kmpl,1649 CC,132.01 bhp,7.0,,23.58
86,Volkswagen Ameo Highline,Pune,2002,261144,Diesel,Automatic,First,22.69 kmpl,1709 CC,159.6 bhp,7.0,,10.37
87,Tata Tigor XZ,Jaipur,2008,33971,Petrol,Manual,First,29.05 kmpl,1022 CC,70.14 bhp,5.0,24.82 Lakh,8.36
88,Mahindra KUV100 K8,Kochi,2006,62304,Petrol,Manual,First,22.94 kmpl,1445 CC,138.64 bhp,7.0,39.45 Lakh,9.98
89,Hyundai Grand i10 Sportz,Jaipur,2013,62960,Diesel,Automatic,First,21.71 kmpl,1844 CC,191.78 bhp,5.0,47.65 Lakh,24.61
90,Mini Countryman Cooper D,Kochi,2019,10791,Diesel,Manual,Second,19.28 kmpl,2056 CC,192.54 bhp,4.0,,86.56
91,Toyota Glanza G,Bangalore,2010,86320,Diesel,Automatic,First,14.3 kmpl,2465 CC,271.25 bhp,5.0,76.01 Lakh,29.58
92,Maruti Baleno Delta,Delhi,2009,165209,Diesel,Manual,First,27.18 kmpl,885 CC,65.81 bhp,5.0,,7.43
93,Maruti Alto 800 LXI,Ahmedabad,2009,77938,Petrol,Manual,First,25.97 kmpl,1231 CC,79.3 bhp,5.0,,8.34
94,Toyota Etios VX,Pune,2009,174506,Diesel,Manual,First,16.49 kmpl,2490 CC,227.99 bhp,7.0,67.46 Lakh,23.87
95,Mitsubishi Outlander 2.4,Kolkata,1998,161779,Diesel,Manual,Third,19.89 kmpl,2337 CC,156.31 bhp,7.0,57.95 Lakh,6.55
96,Ford Aspire Titanium,Hyderabad,2015,104555,Petrol,Manual,First,26.61 kmpl,1278 CC,102.46 bhp,5.0,36.44 Lakh,22.51
97,Jeep Compass Limited,Kochi,2000,267886,Diesel,Automatic,Third,17.8 kmpl,2204 CC,192.49 bhp,5.0,62.6 Lakh,6.08
98,Maruti Ertiga VDI,Delhi,2013,69679,Petrol,Manual,First,28.22 kmpl,994 CC,73.52 bhp,5.0,,12.13
99,Hyundai Xcent SX,Ahmedabad,1999,209360,Diesel,Manual,First,22.79 kmpl,1281 CC,133.83 bhp,7.0,,4.78
100,Hyundai Verna SX,Hyderabad,2011,129217,Diesel,Manual,First,26.64 kmpl,1267 CC,122.48 bhp,7.0,,16.75
101,Hyundai Elantra SX,Bangalore,2000,112649,Diesel,Manual,Fourth & Above,23.72 kmpl,1537 CC,132.35 bhp,5.0,,4.77
102,Maruti Ertiga VDI,Ahmedabad,1998,224510,Petrol,Automatic,First,28.28 kmpl,1322 CC,106.73 bhp,5.0,,4.11
103,Skoda Yeti Ambition,Ahmedabad,2019,7872,Diesel,Automatic,Second,20.09 kmpl,1959 CC,161.99 bhp,5.0,55.77 Lakh,49.83
104,Land Rover Discovery Sport HSE,Chennai,2010,43599,Petrol,Automatic,First,17.47 kmpl,2121 CC,229.51 bhp,4.0,101.51 Lakh,39.07
105,Honda Civic VX,Chennai,2004,191366,Diesel,Manual,First,19.36 kmpl,1803 CC,179.41 bhp,5.0,,9.82
106,Hyundai i10 Magna,Jaipur,2005,69411,Petrol,Manual,First,23.92 kmpl,1112 CC,92.02 bhp,5.0,33.35 Lakh,8.59
107,Volkswagen Ameo Highline,Mumbai,2017,22681,Diesel,Automatic,Second,16.72 kmpl,1960 CC,129.64 bhp,5.0,53.5 Lakh,38.07
108,Tata Hexa XT,Bangalore,2019,10039,Diesel,Automatic,Second,28.08 kmpl,879 CC,68.41 bhp,4.0,23.51 Lakh,18.92
109,Tata Zest XM,Kochi,2004,153697,Petrol,Automatic,First,25.52 kmpl,1383 CC,120.68 bhp,4.0,,8.77
110,Hyundai i10 Magna,Kolkata,2019,6541,Diesel,Manual,First,20.23 kmpl,1987 CC,154.91 bhp,7.0,46.19 Lakh,38.11
111,Maruti Alto 800 LXI,Kochi,2010,20632,Petrol,Manual,Second,24.88 kmpl,858 CC,73.23 bhp,5.0,,7.8
112,Tata Safari Storme VX,Bangalore,2009,137944,Petrol,Manual,Third,30.19 kmpl,846 CC,83.77 bhp,5.0,,5.9
113,Mahindra Scorpio S10,Chennai,2004,264857,Diesel,Manual,First,25.58 kmpl,1329 CC,109.15 bhp,5.0,34.07 Lakh,6.02
114,Maruti Wagon R LXI CNG,Pune,2015,53971,CNG,Automatic,Second,21.89 km/kg,825 CC,60.72 bhp,5.0,22.18 Lakh,11.45
115,Chevrolet Beat LT,Pune,2018,9615,CNG,Manual,Second,18.89 km/kg,1127 CC,103.64 bhp,4.0,27.78 Lakh,20.44
116,Ford Freestyle Titanium,Hyderabad,2016,30339,Diesel,Automatic,First,22.15 kmpl,1817 CC,186.95 bhp,7.0,52.02 Lakh,35.47
117,Volkswagen Polo Highline,Kolkata,2008,124591,Diesel,Automatic,First,17.61 kmpl,2287 CC,205.2 bhp,7.0,64.52 Lakh,20.05
118,Ford Figo Titanium,Kolkata,2018,15991,Diesel,Automatic,First,23.63 kmpl,1526 CC,132.49 bhp,7.0,39.66 Lakh,29.87
119,Nissan Micra XV,Jaipur,2003,133216,Diesel,Manual,First,21.45 kmpl,1801 CC,131.37 bhp,5.0,45.18 Lakh,9.41
120,Nissan Sunny XV,Jaipur,2000,221467,Petrol,Automatic,Second,24.62 kmpl,1152 CC,102.84 bhp,5.0,35.87 Lakh,4.5
121,Hyundai Verna SX,Coimbatore,2002,186924,Petrol,Automatic,First,25.73 kmpl,1219 CC,128.99 bhp,5.0,38.07 Lakh,7.13
122,Tata Zest XM,Kolkata,2007,188471,Petrol,Manual,First,24.62 kmpl,1093 CC,84.31 bhp,5.0,27.76 Lakh,6.45
123,Nissan Micra XV,Chennai,2004,275722,Diesel,Manual,First,27.94 kmpl,1360 CC,127.39 bhp,5.0,,7.29
124,Skoda Superb Ambition,Kolkata,2011,63766,Petrol,Manual,First,16.38 kmpl,2332 CC,190.27 bhp,5.0,65.78 Lakh,28.13
125,Volkswagen Jetta Highline,Kolkata,2018,13525,Diesel,Automatic,First,20.53 kmpl,2015 CC,192.29 bhp,5.0,61.64 Lakh,51.94
126,Hyundai Verna SX,Chennai,2001,206129,Diesel,Automatic,First,24.39 kmpl,1293 CC,107.92 bhp,5.0,,6.04
127,Mahindra TUV300 T8,Coimbatore,2014,36315,Diesel,Automatic,Second,19.62 kmpl,1998 CC,143.53 bhp,5.0,44.17 Lakh,26.68
128,Force One EX,Jaipur,2005,78239,Petrol,Manual,Second,23.67 kmpl,1302 CC,124.23 bhp,7.0,39.82 Lakh,8.59
129,Honda Amaze S i-Dtec,Kolkata,2010,137410,Diesel,Manual,Second,25.55 kmpl,1400 CC,108.06 bhp,7.0,38.28 Lakh,11.5
130,Nissan Sunny XV,Kochi,2001,192089,Diesel,Manual,First,28.03 kmpl,1109 CC,97.23 bhp,5.0,30.33 Lakh,4.7
131,Mahindra XUV500 W8,Hyderabad,1999,429927,Petrol,Manual,Second,21.9 kmpl,1594 CC,111.29 bhp,5.0,39.54 Lakh,4.48
132,Tata Hexa XT,Coimbatore,2018,25644,Petrol,Manual,Second,25.34 kmpl,1048 CC,87.49 bhp,5.0,28.33 Lakh,21.55
133,Maruti Wagon R LXI CNG,Bangalore,2008,69169,Petrol,Manual,First,25.81 kmpl,1087 CC,80.71 bhp,4.0,24.36 Lakh,7.06
134,Volvo XC60 D4,Ahmedabad,2009,186610,Diesel,Automatic,First,8 kmpl,3141 CC,324.08 bhp,4.0,122.19 Lakh,36.11
135,Renault Duster RXZ,Kolkata,1999,418060,Petrol,Manual,First,24.73 kmpl,1478 CC,133.32 bhp,7.0,34.3 Lakh,4.31
136,Renault Duster RXZ,Chennai,2018,29745,Petrol,Manual,Third,27.64 kmpl,883 CC,87.91 bhp,7.0,22.88 Lakh,14.01
137,Maruti Swift Dzire VDI,Hyderabad,2008,115102,Petrol,Automatic,First,23.89 kmpl,1389 CC,115.73 bhp,5.0,30.74 Lakh,10.06
138,Hyundai i10 Magna,Pune,2002,196090,Petrol,Manual,First,25.34 kmpl,1587 CC,115.68 bhp,7.0,37.93 Lakh,5.8
139,Maruti Ertiga VDI,Hyderabad,2003,206279,Diesel,Manual,First,24.52 kmpl,1213 CC,77.93 bhp,5.0,,5.15
140,Jeep Compass Longitude,Mumbai,2019,9682,Diesel,Automatic,Third,16.55 kmpl,2483 CC,169.12 bhp,7.0,,50.91
141,Maruti Ignis Delta,Mumbai,2007,175707,Petrol,Automatic,First,28.41 kmpl,888 CC,65.13 bhp,4.0,,6.17
142,Volvo XC60 D4,Jaipur,2019,12074,Diesel,Automatic,First,17.72 kmpl,2502 CC,217.86 bhp,7.0,,83.55
143,Mahindra Thar CRDe,Kochi,2002,128871,Diesel,Manual,First,22.06 kmpl,1413 CC,137.56 bhp,5.0,42.09 Lakh,7.26
144,Land Rover Range Rover Evoque,Coimbatore,2014,28661,Petrol,Automatic,First,16.37 kmpl,2304 CC,257.33 bhp,4.0,108.65 Lakh,62.64
145,Hyundai Santro Sportz,Pune,2009,82931,Diesel,Manual,Third,21.74 kmpl,1338 CC,87.87 bhp,7.0,,8.48
146,Hyundai Xcent SX,Hyderabad,2007,40192,Petrol,Manual,First,24.38 kmpl,1362 CC,157.46 bhp,5.0,,14.24
147,Nissan Sunny XV,Delhi,2016,45429,Diesel,Automatic,First,20.49 kmpl,1936 CC,143.67 bhp,5.0,42.65 Lakh,26.15
148,Nissan Sunny XV,Delhi,2015,25234,Petrol,Manual,First,21.59 kmpl,1693 CC,128.93 bhp,7.0,,29.91
149,Mahindra Bolero SLE,Delhi,2005,163300,Petrol,Manual,First,25.71 kmpl,1416 CC,128.19 bhp,7.0,37.36 Lakh,9.16
150,Mitsubishi Outlander 2.4,Bangalore,2001,169837,Diesel,Automatic,First,21.11 kmpl,1666 CC,131.22 bhp,5.0,48.64 Lakh,8.96
151,Maruti Ignis Delta,Jaipur,2009,141866,Petrol,Automatic,Second,28.89 kmpl,926 CC,73.78 bhp,5.0,,6.58
152,Force Trax Cruiser,Jaipur,2004,302430,Petrol,Manual,Third,20.39 kmpl,1689 CC,131.26 bhp,7.0,,6.19
153,Honda Civic VX,Jaipur,2013,56782,Diesel,Manual,First,25.92 kmpl,1184 CC,135.08 bhp,5.0,,17.51
154,Tata Tigor XZ,Coimbatore,2016,24882,Petrol,Manual,First,26.41 kmpl,1012 CC,79.83 bhp,4.0,27.04 Lakh,18.78
155,Mitsubishi Outlander 2.4,Coimbatore,2009,135949,Petrol,Automatic,Second,14.58 kmpl,2486 CC,200.09 bhp,7.0,64.49 Lakh,20.2
156,Renault Triber RXZ,Bangalore,2011,95673,Diesel,Automatic,First,28.76 kmpl,865 CC,68.66 bhp,5.0,,9.24
157,Renault Captur RXE,Coimbatore,2002,185021,Diesel,Manual,First,25.03 kmpl,1480 CC,134.43 bhp,4.0,,6.38
158,Maruti Ciaz ZXI,Mumbai,2019,9442,Petrol,Manual,First,30.0 kmpl,861 CC,74.63 bhp,5.0,25.89 Lakh,20.5
159,Toyota Etios VX,Mumbai,2001,206747,Petrol,Automatic,First,17.34 kmpl,2419 CC,153.21 bhp,7.0,,10.51
160,Hyundai i20 Sportz,Chennai,2000,91037,Petrol,Automatic,First,24.86 kmpl,1762 CC,172.89 bhp,5.0,,7.58
161,Maruti Alto 800 LXI,Jaipur,2014,71379,Petrol,Automatic,Second,27.06 kmpl,858 CC,53.57 bhp,4.0,19.25 Lakh,9.71
162,Chevrolet Spark LT,Jaipur,1998,250975,Diesel,Manual,First,27.91 kmpl,865 CC,82.44 bhp,5.0,24.02 Lakh,2.71
163,Mahindra Thar CRDe,Hyderabad,2005,185684,Petrol,Manual,Second,21.02 kmpl,1641 CC,122.91 bhp,5.0,,6.7
164,Maruti Swift Dzire VDI,Delhi,2001,336773,Petrol,Manual,Second,22.85 kmpl,1390 CC,88.01 bhp,7.0,,3.05
165,Tata Tigor XZ,Kochi,2011,151518,CNG,Automatic,First,31.91 km/kg,1020 CC,76.53 bhp,5.0,26.16 Lakh,10.29
166,Tata Zest XM,Jaipur,2005,240522,Petrol,Automatic,First,27.81 kmpl,865 CC,80.02 bhp,4.0,,5.76
167,Volkswagen Polo Highline,Chennai,2014,75105,Diesel,Manual,Second,17.79 kmpl,2456 CC,227.73 bhp,5.0,71.47 Lakh,31.82
168,Hyundai Venue SX,Jaipur,2005,67063,Petrol,Automatic,First,23.11 kmpl,1410 CC,141.0 bhp,5.0,41.12 Lakh,11.46
169,Maruti Vitara Brezza VDI,Pune,2004,216365,Diesel,Manual,First,29.71 kmpl,952 CC,93.59 bhp,4.0,,5.23
170,BMW 3 Series 320d,Kolkata,2006,148392,Petrol,Automatic,First,8 kmpl,3361 CC,282.16 bhp,5.0,118.31 Lakh,30.54
171,Nissan Sunny XV,Delhi,2015,36356,Petrol,Automatic,Second,24.16 kmpl,1569 CC,135.19 bhp,7.0,,24.99
172,Jeep Compass Longitude,Bangalore,2013,97080,Diesel,Automatic,First,13.82 kmpl,2380 CC,189.45 bhp,5.0,62.91 Lakh,29.14
173,Hyundai Grand i10 Sportz,Ahmedabad,2010,61922,Diesel,Manual,First,21.11 kmpl,1920 CC,145.46 bhp,5.0,47.16 Lakh,19.17
174,Volkswagen Ameo Highline,Kolkata,2009,215193,Diesel,Automatic,First,19.32 kmpl,2307 CC,201.8 bhp,5.0,63.95 Lakh,19.27
175,Fiat Linea Emotion,Hyderabad,2001,224731,Petrol,Manual,First,24.57 kmpl,1464 CC,109.15 bhp,5.0,31.42 Lakh,4.15
176,Volkswagen Jetta Highline,Kolkata,2000,280302,Diesel,Manual,First,19.06 kmpl,1958 CC,201.14 bhp,7.0,63.97 Lakh,8.2
177,Volkswagen Jetta Highline,Chennai,2013,85680,Diesel,Manual,Second,22.32 kmpl,1576 CC,114.07 bhp,5.0,,20.73
178,Mahindra Thar CRDe,Delhi,2012,59165,Petrol,Automatic,First,24.59 kmpl,1433 CC,161.85 bhp,7.0,44.18 Lakh,23.1
179,Maruti Alto 800 LXI,Pune,2001,277890,Diesel,Manual,Second,23.88 kmpl,1372 CC,115.24 bhp,7.0,,4.46
180,Datsun GO Plus T,Bangalore,2005,189074,CNG,Manual,First,20.86 km/kg,1084 CC,82.36 bhp,7.0,23.82 Lakh,5.77
181,Volkswagen Ameo Highline,Kolkata,2009,91199,Petrol,Automatic,First,18.64 kmpl,2216 CC,221.49 bhp,7.0,65.9 Lakh,25.65
182,Chevrolet Beat LT,Kolkata,2001,344846,Diesel,Manual,First,25.5 kmpl,1437 CC,112.36 bhp,7.0,31.37 Lakh,4.07
183,Mahindra Thar CRDe,Kochi,2003,177050,Diesel,Manual,First,22.72 kmpl,1520 CC,139.89 bhp,5.0,40.98 Lakh,7.78
